date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-19 13:04:34,MH00209088,9088,"SUMTER, Thomas",2,House,(SC-04),South Carolina,SC,4,4000,-0.694,-0.656,0.64,17,89,-39.7511
2016-10-19 13:04:34,MH00209062,9062,"STURGES, Jonathan",2,House,(CT-00),Connecticut,CT,98,5000,0.535,0.443,0.507,32,98,-66.62686
2016-10-19 13:04:34,MH00208896,8896,"STERETT, Samuel",2,House,(MD-04),Maryland,MD,4,4000,0.371,0.929,0.731,7,79,-24.76162
2016-10-19 13:04:34,MH00208869,8869,"STEELE, John",2,House,(NC-01),North Carolina,NC,1,5000,0.219,-0.228,0.553,31,87,-51.46977
2016-10-19 13:04:34,MH00208702,8702,"SMITH, William Loughton",2,House,(SC-01),South Carolina,SC,1,5000,0.472,0.495,0.7,13,95,-33.85782
2016-10-19 13:04:34,MH00208644,8644,"SMITH, Jeremiah",2,House,(NH-00),New Hampshire,NH,98,5000,0.452,-0.337,0.593,25,85,-44.43932
2016-10-19 13:04:34,MH00208639,8639,"SMITH, Israel",2,House,(VT-01),Vermont,VT,1,4000,0.014,-0.983,0.58,24,83,-45.16676
2016-10-19 13:04:34,MH00208511,8511,"SILVESTER, Peter",2,House,(NY-05),New York,NY,5,5000,0.542,0.421,0.627,18,88,-41.05502
2016-10-19 13:04:34,MH00208449,8449,"SHEREDINE, Upton",2,House,(MD-06),Maryland,MD,6,4000,,,,,,
2016-10-19 13:04:34,MH00208363,8363,"SENEY, Joshua",2,House,(MD-02),Maryland,MD,2,4000,0.224,0.271,0.585,15,58,-31.10942
2016-10-19 13:04:34,MH00208344,8344,"SEDGWICK, Theodore",2,House,(MA-04),Massachusetts,MA,4,5000,0.841,0.339,0.831,4,75,-13.8865
2016-10-19 13:04:34,MH00208272,8272,"SCHOONMAKER, Cornelius Corneliusen",2,House,(NY-04),New York,NY,4,4000,-0.01,-0.971,0.689,13,77,-28.70435
2016-10-19 13:04:34,MH00207463,7463,"PINKNEY, William",2,House,(MD-03),Maryland,MD,3,5000,-0.107,0.023,0.646,7,30,-13.08814
2016-10-19 13:04:34,MH00207199,7199,"PARKER, Josiah",2,House,(VA-08),Virginia,VA,8,4000,0.188,0.096,0.592,20,90,-47.20952
2016-10-19 13:04:34,MH00207156,7156,"PAGE, John",2,House,(VA-07),Virginia,VA,7,4000,-0.04,-0.026,0.695,14,87,-31.5934
2016-10-19 13:04:34,MH00207084,7084,"ORR, Alexander Dalrymple",2,House,(KY-02),Kentucky,KY,2,4000,-0.021,-0.338,0.815,1,32,-6.55544
2016-10-19 13:04:34,MH00206932,6932,"NILES, Nathaniel",2,House,(VT-02),Vermont,VT,2,4000,0.221,-0.975,0.714,15,97,-32.7134
2016-10-19 13:04:34,MH00206830,6830,"MURRAY, William Vans",2,House,(MD-05),Maryland,MD,5,5000,0.413,0.19,0.531,35,89,-56.28724
2016-10-19 13:04:34,MH00206781,6781,"MUHLENBERG, Frederick Augustus Conrad",2,House,(PA-02),Pennsylvania,PA,2,4000,0.239,0.441,0.688,12,89,-33.33466
2016-10-19 13:04:34,MH00206625,6625,"MOORE, Andrew",2,House,(VA-03),Virginia,VA,3,4000,-0.244,-0.446,0.793,9,89,-20.62972
2016-10-19 13:04:34,MH00206472,6472,"MILLEDGE, John",2,House,(GA-01),Georgia,GA,1,4000,-0.014,-0.187,0.651,14,74,-31.77263
2016-10-19 13:04:34,MH00206418,6418,"MERCER, John Francis",2,House,(MD-03),Maryland,MD,3,4000,-0.469,-0.015,0.835,5,59,-10.66471
2016-10-19 13:04:34,MH00205903,5903,"MADISON, James, Jr.",2,House,(VA-05),Virginia,VA,5,4000,-0.06,-0.436,0.732,13,92,-28.67435
2016-10-19 13:04:34,MH00205895,5895,"MACON, Nathaniel",2,House,(NC-02),North Carolina,NC,2,4000,-0.331,-0.944,0.774,9,95,-24.38087
2016-10-19 13:04:34,MH00205713,5713,"LIVERMORE, Samuel",2,House,(NH-00),New Hampshire,NH,98,5000,0.353,0.722,0.434,44,100,-83.44343
2016-10-19 13:04:34,MH00205611,5611,"LEONARD, George",2,House,(MA-06),Massachusetts,MA,6,5000,0.844,0.357,0.791,5,39,-9.12194
2016-10-19 13:04:34,MH00205564,5564,"LEE, Richard Bland",2,House,(VA-04),Virginia,VA,4,5000,0.246,-0.031,0.607,19,84,-41.89983
2016-10-19 13:04:34,MH00205543,5543,"LEARNED, Amasa",2,House,(CT-00),Connecticut,CT,98,5000,0.817,0.303,0.842,4,90,-15.47804
2016-10-19 13:04:34,MH00205498,5498,"LAURANCE, John",2,House,(NY-02),New York,NY,2,5000,0.753,-0.05,0.625,15,82,-38.52775
2016-10-19 13:04:34,MH00205310,5310,"KITTERA, John Wilkes",2,House,(PA-05),Pennsylvania,PA,5,5000,0.579,0.187,0.667,16,69,-27.9422
2016-10-19 13:04:34,MH00205303,5303,"KITCHELL, Aaron",2,House,(NJ-00),New Jersey,NJ,98,5000,0.058,-0.369,0.5,38,97,-67.23408
2016-10-19 13:04:34,MH00205224,5224,"KEY, Philip",2,House,(MD-01),Maryland,MD,1,5000,0.232,0.309,0.629,22,81,-37.61037
2016-10-19 13:04:34,MH00204871,4871,"JACOBS, Israel",2,House,(PA-03),Pennsylvania,PA,3,5000,0.276,-0.441,0.589,14,67,-35.50126
2016-10-19 13:04:34,MH00204695,4695,"HUGER, Daniel",2,House,(SC-03),South Carolina,SC,3,5000,0.453,0.892,0.738,8,78,-23.7252
2016-10-19 13:04:34,MH00204441,4441,"HINDMAN, William",2,House,(MD-02),Maryland,MD,2,5000,0.798,-0.272,0.77,7,60,-15.65764
2016-10-19 13:04:34,MH00204433,4433,"HILLHOUSE, James",2,House,(CT-00),Connecticut,CT,98,5000,0.696,-0.243,0.661,16,89,-36.9125
2016-10-19 13:04:34,MH00204390,4390,"HIESTER, Daniel",2,House,(PA-04),Pennsylvania,PA,4,4000,0.082,-0.074,0.648,21,74,-32.10361
2016-10-19 13:04:34,MH00204156,4156,"HARTLEY, Thomas",2,House,(PA-07),Pennsylvania,PA,7,5000,0.455,-0.245,0.61,19,84,-41.57136
2016-10-19 13:04:34,MH00203859,3859,"GROVE, William Barry",2,House,(NC-05),North Carolina,NC,5,5000,0.301,-0.045,0.515,37,91,-60.45502
2016-10-19 13:04:34,MH00203825,3825,"GRIFFIN, Samuel",2,House,(VA-10),Virginia,VA,10,4000,0.184,-0.07,0.686,6,67,-25.22798
2016-10-19 13:04:34,MH00203805,3805,"GREGG, Andrew",2,House,(PA-06),Pennsylvania,PA,6,4000,-0.024,0.2,0.546,19,80,-48.47244
2016-10-19 13:04:34,MH00203798,3798,"GREENUP, Christopher",2,House,(KY-01),Kentucky,KY,1,4000,-0.184,-0.333,0.594,8,35,-18.22044
2016-10-19 13:04:34,MH00203695,3695,"GORDON, James",2,House,(NY-06),New York,NY,6,5000,0.574,-0.121,0.677,14,80,-31.15138
2016-10-19 13:04:34,MH00203674,3674,"GOODHUE, Benjamin",2,House,(MA-02),Massachusetts,MA,2,5000,0.783,0.055,0.786,11,96,-23.14903
2016-10-19 13:04:34,MH00203610,3610,"GILMAN, Nicholas",2,House,(NH-00),New Hampshire,NH,98,5000,0.387,0.053,0.575,30,96,-53.06137
2016-10-19 13:04:34,MH00203582,3582,"GILES, William Branch",2,House,(VA-09),Virginia,VA,9,4000,0.018,0.066,0.765,11,89,-23.78894
2016-10-19 13:04:34,MH00203541,3541,"GERRY, Elbridge",2,House,(MA-03),Massachusetts,MA,3,4000,0.538,0.843,0.608,23,79,-39.37108
2016-10-19 13:04:34,MH00203196,3196,"FITZSIMONS, Thomas",2,House,(PA-01),Pennsylvania,PA,1,5000,0.534,-0.239,0.592,29,98,-51.30076
2016-10-19 13:04:34,MH00203147,3147,"FINDLEY, William",2,House,(PA-08),Pennsylvania,PA,8,4000,-0.026,0.481,0.74,9,83,-25.03554
2016-10-19 13:04:34,MH00202440,2440,"DAYTON, Jonathan",2,House,(NJ-00),New Jersey,NJ,98,5000,0.473,0.159,0.604,17,61,-30.72683
2016-10-19 13:04:34,MH00201750,1750,"CLARK, Abraham",2,House,(NJ-00),New Jersey,NJ,98,5000,0.27,-0.888,0.665,16,89,-36.28681
2016-10-19 13:04:34,MH00201118,1118,"BROWN, John",2,House,(VA-02),Virginia,VA,2,4000,-0.277,-0.539,0.742,8,60,-17.91377
2016-10-19 13:04:34,MH00200886,886,"BOURNE, Shearjashub",2,House,(MA-05),Massachusetts,MA,5,5000,0.938,0.117,0.822,6,98,-19.17967
2016-10-19 13:04:34,MH00200884,884,"BOURNE, Benjamin",2,House,(RI-01),Rhode Island,RI,1,5000,0.714,0.006,0.738,12,99,-30.04799
2016-10-19 13:04:34,MH00200878,878,"BOUDINOT, Elias",2,House,(NJ-00),New Jersey,NJ,98,5000,0.576,0.123,0.655,16,89,-37.62224
2016-10-19 13:04:34,MH00200649,649,"BENSON, Egbert",2,House,(NY-03),New York,NY,3,5000,0.803,0.41,0.749,13,96,-27.76914
2016-10-19 13:04:34,MH00200456,456,"BARNWELL, Robert",2,House,(SC-02),South Carolina,SC,2,5000,0.534,0.845,0.724,12,99,-31.96246
2016-10-19 13:04:34,MH00200379,379,"BALDWIN, Abraham",2,House,(GA-02),Georgia,GA,2,4000,-0.165,-0.371,0.722,15,100,-32.51448
2016-10-19 13:04:34,MH00200259,259,"ASHE, John Baptista",2,House,(NC-03),North Carolina,NC,3,4000,-0.483,-0.816,0.828,8,95,-17.93706
2016-10-19 13:04:34,MH00200154,154,"AMES, Fisher",2,House,(MA-01),Massachusetts,MA,1,5000,0.859,0.212,0.836,5,92,-16.50977
